question,answer,answer_index,hops,thinking,cypher_query
"Finn E. Kydland được biết đến với vai trò nghề nghiệp nào?
A. Kỹ sư
B. Nhà vật lý
C. Nhà kinh tế học
D. Nhà toán học",C,2,1,"The rephrased question asks about Finn E. Kydland's occupation, matching the Cypher query's return type (o.name for Occupation). The correct answer 'economist' is translated to 'Nhà kinh tế học'. The distractors ('Kỹ sư', 'Nhà vật lý', 'Nhà toán học') are all valid occupations, translated to Vietnamese, and critically, none are from the forbidden list of database results ('university teacher', 'professor', 'scientist', 'economist').","MATCH (p:Person {name: ""Finn E. Kydland""})-[:WORKS_AS]->(o:Occupation) RETURN o.name"
"Ai là một trong những cá nhân có lĩnh vực công việc tương đồng với những người đã từng đoạt giải Nobel Hòa bình?
A. Rosalind Franklin
B. Kary Mullis
C. Stephen Hawking
D. Alan Turing",B,1,4,"The rephrased question asks for a person's name who shares a field of work with Nobel Peace Prize laureates. The correct answer is Kary Mullis. The distractors (Rosalind Franklin, Stephen Hawking, Alan Turing) are also names of people, are not the correct answer, and are confirmed not to be in the provided forbidden list from the database results.","MATCH (a:Award {name: ""Nobel Peace Prize""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p1:Person)-[:WORKS_IN_FIELD]->(f:Field)<-[:WORKS_IN_FIELD]-(p2:Person) RETURN p2.name"
"Trong số những nhân vật dưới đây, ai có chung quốc tịch với Archer John Porter Martin?
A. James A. Robinson
B. Albert Einstein
C. Marie Curie
D. Niels Bohr",A,0,2,"The question has been rephrased to ask for a person sharing nationality with Archer John Porter Martin. The correct answer is 'James A. Robinson' (Vietnamese). The distractors are also names of famous people and Nobel laureates, and are not present in the provided database results.","MATCH (p1:Person {name: ""Archer John Porter Martin""})-[:IS_CITIZEN_OF]->(c:Country)<-[:IS_CITIZEN_OF]-(p2:Person) RETURN p2.name"
"Người từng đoạt Giải thưởng Khoa học Kinh tế của Ngân hàng Sveriges để tưởng nhớ Alfred Nobel đến từ quốc gia nào?
A. Nhật Bản
B. Thụy Sĩ
C. Vương quốc Liên hiệp Anh và Ireland
D. Úc",C,2,3,"The rephrased question asks about the country of origin of a recipient of the Prize in Economic Sciences. The correct answer is 'United Kingdom of Great Britain and Ireland' (translated to Vietnamese as 'Vương quốc Liên hiệp Anh và Ireland'). The distractors are other country names (Nhật Bản, Thụy Sĩ, Úc), all are of the same type and not present in the forbidden database list.","MATCH (a:Award {name: ""Prize in Economic Sciences in Memory of Alfred Nobel""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p:Person)-[:IS_CITIZEN_OF]->(c:Country) RETURN c.name"
"Quốc gia nào có công dân đã từng đoạt Giải thưởng Khoa học Kinh tế tưởng nhớ Alfred Nobel?
A. Canada
B. Úc
C. Nhật Bản
D. Hàn Quốc",A,0,3,"The question has been rephrased to ask about a country whose citizens have received the 'Prize in Economic Sciences in Memory of Alfred Nobel', maintaining the original meaning and asking for a singular country name. The correct answer 'Canada' (tiếng Việt) matches the query type (country name). The distractors 'Úc' (Australia), 'Nhật Bản' (Japan), and 'Hàn Quốc' (South Korea) are also country names, are plausible but incorrect for this specific award, and importantly, are NOT present in the provided list of database results (forbidden distractors).","MATCH (a:Award {name: ""Prize in Economic Sciences in Memory of Alfred Nobel""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p:Person)-[:IS_CITIZEN_OF]->(c:Country) RETURN c.name"
"Tên của một nhà nghiên cứu có cùng lĩnh vực chuyên môn với người từng đoạt Giải Khoa học Kinh tế tưởng niệm Alfred Nobel là gì?
A. Nouriel Roubini
B. Oliver E. Williamson
C. Robert J. Barro
D. Raghuram Rajan",B,1,4,"The rephrased question asks for the name of a person (singular) who works in the same field as a Nobel laureate in Economic Sciences. The Cypher query `RETURN p2.name` confirms that the desired answer type is a person's name. The correct answer, 'Oliver E. Williamson', is a person's name. The distractors ('Nouriel Roubini', 'Robert J. Barro', 'Raghuram Rajan') are also names of people (economists), plausible, and importantly, they are confirmed NOT to be present in the provided list of database results (forbidden list).","MATCH (a:Award {name: ""Prize in Economic Sciences in Memory of Alfred Nobel""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p1:Person)-[:WORKS_IN_FIELD]->(f:Field)<-[:WORKS_IN_FIELD]-(p2:Person) RETURN p2.name"
"Ai có chung quốc tịch với Otto Stern?
A. Peter Grünberg
B. Marie Curie
C. Nikola Tesla
D. Isaac Newton",A,0,2,"The original question asks for people sharing nationality with Otto Stern. The rephrased question 'Ai có chung quốc tịch với Otto Stern?' asks the same but in a singular form, suitable for an MCQ. The Cypher query `RETURN p2.name` indicates the answer should be a person's name. The correct answer 'Peter Grünberg' is a person's name. Distractors 'Marie Curie', 'Nikola Tesla', and 'Isaac Newton' are also person's names and are confirmed NOT to be in the provided database results list, adhering to all rules.","MATCH (p1:Person {name: ""Otto Stern""})-[:IS_CITIZEN_OF]->(c:Country)<-[:IS_CITIZEN_OF]-(p2:Person) RETURN p2.name"
"Ai trong số những người sau đây có cùng quốc tịch với Walter Houser Brattain?
A. Marie Curie
B. Joshua Angrist
C. Niels Bohr
D. Max Planck",B,1,2,"The rephrased question asks for a person who shares the same nationality as Walter Houser Brattain (who is American). The correct answer is Joshua Angrist (a person's name), and the distractors are also names of people (Marie Curie, Niels Bohr, Max Planck) who are not present in the forbidden database list.","MATCH (p1:Person {name: ""Walter Houser Brattain""})-[:IS_CITIZEN_OF]->(c:Country)<-[:IS_CITIZEN_OF]-(p2:Person) RETURN p2.name"
"Trong danh sách dưới đây, ai là người có cùng quốc tịch với nhà khoa học Christiane Nüsslein-Volhard?
A. Marie Curie
B. Nelson Mandela
C. Benjamin List
D. Linus Pauling",C,2,2,"The question has been rephrased to ask for a single person who shares the same nationality as Christiane Nüsslein-Volhard (German). The correct answer is 'Benjamin List' (a German Nobel laureate). The distractors (Marie Curie, Nelson Mandela, Linus Pauling) are all famous Nobel laureates from different nationalities (Polish-French, South African, American respectively) and are not present in the forbidden database result list, fulfilling all criteria.","MATCH (p1:Person {name: ""Christiane Nüsslein-Volhard""})-[:IS_CITIZEN_OF]->(c:Country)<-[:IS_CITIZEN_OF]-(p2:Person) RETURN p2.name"
"Quốc gia nào sau đây đã từng có công dân được trao Giải Nobel Sinh lý học hoặc Y học?
A. Brasil
B. Đế quốc Đức
C. Ai Cập
D. México",B,1,3,"The rephrased question asks about a country whose citizens received the Nobel Prize in Physiology or Medicine. The correct answer is 'German Empire' (Đế quốc Đức). The distractors are other country names (Brasil, Ai Cập, México) which are of the same type and are not present in the forbidden database results.","MATCH (a:Award {name: ""Nobel Prize in Physiology or Medicine""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p:Person)-[:IS_CITIZEN_OF]->(c:Country) RETURN c.name"
"Ai là một trong những nhà khoa học có lĩnh vực nghiên cứu tương tự với những người đã đoạt giải Nobel Hóa học?
A. Rosalind Franklin
B. Kurt Wüthrich
C. Louis Pasteur
D. Charles Darwin",B,1,4,"The rephrased question asks for the name of a person (singular) who works in a field similar to Nobel Chemistry laureates. The correct answer 'Kurt Wüthrich' is a person's name. The distractors 'Rosalind Franklin', 'Louis Pasteur', and 'Charles Darwin' are also names of notable scientists, are of the same type, and are confirmed not to be in the provided database results list.","MATCH (a:Award {name: ""Nobel Prize in Chemistry""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p1:Person)-[:WORKS_IN_FIELD]->(f:Field)<-[:WORKS_IN_FIELD]-(p2:Person) RETURN p2.name"
"Nghề nghiệp của Karl Landsteiner là gì?
A. Nhà huyết học
B. Nhà hóa học
C. Nhà vật lý
D. Nhà toán học",A,0,1,"The question asks about Karl Landsteiner's occupation, rephrasing the original. The Cypher query `RETURN o.name` for `o:Occupation` confirms the answer type is an occupation. The correct answer 'hematologist' is translated to 'Nhà huyết học'. The distractors 'Nhà hóa học', 'Nhà vật lý', 'Nhà toán học' are other common scientific occupations, translated into Vietnamese, and are explicitly not present in the forbidden list provided from the database results.","MATCH (p:Person {name: ""Karl Landsteiner""})-[:WORKS_AS]->(o:Occupation) RETURN o.name"
"Ai là người có cùng lĩnh vực hoạt động với một số cá nhân đã nhận Giải Nobel Hòa bình?
A. James Cronin
B. Stephen Hawking
C. Carl Sagan
D. Neil deGrasse Tyson",A,0,4,"The rephrased question asks for a person's name ('Ai là người...') who shares a field with Nobel Peace Prize laureates. The Cypher query `RETURN p2.name` confirms this. The correct answer 'James Cronin' is a person's name. The distractors (Stephen Hawking, Carl Sagan, Neil deGrasse Tyson) are also person's names, are plausible given the context (often scientists), and importantly, are confirmed NOT to be present in the provided list of database results (forbidden for distractors).","MATCH (a:Award {name: ""Nobel Peace Prize""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p1:Person)-[:WORKS_IN_FIELD]->(f:Field)<-[:WORKS_IN_FIELD]-(p2:Person) RETURN p2.name"
"Ai trong số những người sau đây có cùng quốc tịch với Albert John Mvumbi Luthuli?
A. Malala Yousafzai
B. Desmond Tutu
C. Marie Curie
D. Martin Luther King Jr.",B,1,2,"The rephrased question asks about a person's name who shares nationality with Albert John Mvumbi Luthuli. The correct answer is 'Desmond Tutu' (person's name). The distractors are also person's names (Malala Yousafzai, Marie Curie, Martin Luther King Jr.) and are not from the forbidden database results.","MATCH (p1:Person {name: ""Albert John Mvumbi Luthuli""})-[:IS_CITIZEN_OF]->(c:Country)<-[:IS_CITIZEN_OF]-(p2:Person) RETURN p2.name"
"Nhân vật nào dưới đây là người đã được trao giải Nobel Hóa học?
A. Mario Molina
B. Stephen Hawking
C. Charles Darwin
D. Isaac Newton",A,0,2,"The rephrased question asks about a person who received the Nobel Prize in Chemistry, keeping the singular form as required. The correct answer is Mario Molina. The distractors (Stephen Hawking, Charles Darwin, Isaac Newton) are all names of famous scientists/historical figures but did not win the Nobel Prize in Chemistry, and critically, are confirmed not to be in the provided forbidden list of names from the database.","MATCH (p:Person)-[:RECEIVED]->(ast:AwardStatement)-[:IS_INSTANCE_OF]->(a:Award {name: ""Nobel Prize in Chemistry""}) RETURN p.name"
"Ai trong số những người sau đây có cùng lĩnh vực công tác với một người từng đoạt giải Nobel Văn học?
A. Stephen King
B. Bob Dylan
C. Haruki Murakami
D. J.K. Rowling",B,1,4,"The rephrased question asks for a person who shares a field of work with a Nobel Literature laureate. The Cypher query returns `p2.name`, indicating the answer type is a person's name. The correct answer is 'Bob Dylan' (a person's name, from the database results). The distractors 'Stephen King', 'Haruki Murakami', and 'J.K. Rowling' are all person's names, work in related fields (literature/storytelling), and are NOT present in the provided list of disallowed database results.","MATCH (a:Award {name: ""Nobel Prize in Literature""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p1:Person)-[:WORKS_IN_FIELD]->(f:Field)<-[:WORKS_IN_FIELD]-(p2:Person) RETURN p2.name"
"Nhân vật nào dưới đây đã học chung trường với Irène Joliot-Curie?
A. Niels Bohr
B. Jean-Paul Sartre
C. Ernest Hemingway
D. Linus Pauling",B,1,2,"The rephrased question asks about a person who studied at the same organization as Irène Joliot-Curie. The Cypher query `RETURN p2.name` confirms that the expected answer type is a person's name. The correct answer is 'Jean-Paul Sartre' (a person's name). The distractors 'Niels Bohr', 'Ernest Hemingway', and 'Linus Pauling' are all names of notable individuals (Nobel laureates) and are not present in the list of forbidden database results, ensuring they are valid distractors of the same type.","MATCH (p1:Person {name: ""Irène Joliot-Curie""})-[:EDUCATED_AT]->(o:Organization)<-[:EDUCATED_AT]-(p2:Person) RETURN p2.name"
"Ai trong số các cá nhân sau đây hoạt động trong cùng lĩnh vực với một trong những người đã nhận Giải thưởng Khoa học Kinh tế Tưởng nhớ Alfred Nobel?
A. John Hasbrouck Van Vleck
B. Stephen Hawking
C. Alan Turing
D. Marie Curie",A,0,4,"The rephrased question asks for a person's name who works in the same field as an Economics Nobel laureate. The correct answer is 'John Hasbrouck Van Vleck' (Vietnamese). The distractors 'Stephen Hawking', 'Alan Turing', and 'Marie Curie' are also person names and are not present in the provided database results list.","MATCH (a:Award {name: ""Prize in Economic Sciences in Memory of Alfred Nobel""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p1:Person)-[:WORKS_IN_FIELD]->(f:Field)<-[:WORKS_IN_FIELD]-(p2:Person) RETURN p2.name"
"Cá nhân nào sau đây có chung quốc tịch với Stefan Hell?
A. Gustav Stresemann
B. Marie Curie
C. Niels Bohr
D. Linus Pauling",A,0,2,"The question is rephrased to ask 'Which individual among the following shares the same nationality as Stefan Hell?', asking for a person's name. The correct answer 'Gustav Stresemann' is a person's name. The distractors 'Marie Curie', 'Niels Bohr', and 'Linus Pauling' are also person's names and have been verified not to be in the provided forbidden database results list.","MATCH (p1:Person {name: ""Stefan Hell""})-[:IS_CITIZEN_OF]->(c:Country)<-[:IS_CITIZEN_OF]-(p2:Person) RETURN p2.name"
"Ai là một trong số những người hoạt động trong cùng lĩnh vực với người từng đoạt giải Nobel Sinh lý học hoặc Y học?
A. Yuan T. Lee
B. Stephen Hawking
C. Rosalind Franklin
D. Nikola Tesla",A,0,4,"The rephrased question asks for the name of a person who works in the same field as Nobel laureates in Physiology or Medicine. The Cypher query returns `p2.name`, which is a person's name. 'Yuan T. Lee' is the correct answer. The distractors (Stephen Hawking, Rosalind Franklin, Nikola Tesla) are all names of people, not in the provided database results, and are plausible but incorrect choices.","MATCH (a:Award {name: ""Nobel Prize in Physiology or Medicine""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p1:Person)-[:WORKS_IN_FIELD]->(f:Field)<-[:WORKS_IN_FIELD]-(p2:Person) RETURN p2.name"
"Ngoài Charles Richet, ai là công dân cùng quốc gia với ông?
A. Albert Einstein
B. Jules Hoffmann
C. Max Planck
D. Linus Pauling",B,1,2,"The rephrased question asks for the name of a person who shares the same nationality as Charles Richet. The correct answer 'Jules Hoffmann' is a person's name. The distractors 'Albert Einstein', 'Max Planck', and 'Linus Pauling' are also names of people, are plausible, and are NOT present in the provided list of results from the database.","MATCH (p1:Person {name: ""Charles Richet""})-[:IS_CITIZEN_OF]->(c:Country)<-[:IS_CITIZEN_OF]-(p2:Person) RETURN p2.name"
"Người nào sau đây hoạt động trong lĩnh vực tương tự với những người đã từng nhận giải Nobel Văn học?
A. Stephen Hawking
B. Marie Curie
C. Bob Dylan
D. Nelson Mandela",C,2,4,"The rephrased question asks for a person's name (singular) who works in the same field as Nobel Literature laureates. The correct answer is 'Bob Dylan'. The distractors 'Stephen Hawking', 'Marie Curie', and 'Nelson Mandela' are all names of people, are famous, but are not in the forbidden database list and work in different fields, making them plausible but incorrect choices.","MATCH (a:Award {name: ""Nobel Prize in Literature""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p1:Person)-[:WORKS_IN_FIELD]->(f:Field)<-[:WORKS_IN_FIELD]-(p2:Person) RETURN p2.name"
"Carl Wieman có chung quốc tịch với người đoạt giải Nobel nào sau đây?
A. Marie Curie
B. Lars Onsager
C. Max Planck
D. Niels Bohr",B,1,2,"The rephrased question asks about a person who shares the same nationality as Carl Wieman (a 'đồng hương'). The Cypher query returns a person's name. The correct answer 'Lars Onsager' is a person's name. The distractors (Marie Curie, Max Planck, Niels Bohr) are also names of people, are plausible, and have been verified to NOT be present in the provided database results.","MATCH (p1:Person {name: ""Carl Wieman""})-[:IS_CITIZEN_OF]->(c:Country)<-[:IS_CITIZEN_OF]-(p2:Person) RETURN p2.name"
"Quốc gia nào có công dân đã từng đoạt Giải thưởng Khoa học Kinh tế tưởng nhớ Alfred Nobel?
A. Nhật Bản
B. Đức
C. Thụy Sĩ
D. Úc",B,1,3,"The rephrased question asks for a country whose citizens have won the Prize in Economic Sciences in Memory of Alfred Nobel. The Cypher query returns `c.name` (country name), so all options must be country names. The correct answer is 'Đức' (Germany). The distractors 'Nhật Bản' (Japan), 'Thụy Sĩ' (Switzerland), and 'Úc' (Australia) are also country names, are plausible choices, and are strictly confirmed to NOT be present in the provided list of database results (the forbidden list).","MATCH (a:Award {name: ""Prize in Economic Sciences in Memory of Alfred Nobel""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p:Person)-[:IS_CITIZEN_OF]->(c:Country) RETURN c.name"
"Trong số những người sau đây, ai có cùng lĩnh vực nghiên cứu với người đã nhận Giải Nobel Vật lý?
A. Nikola Tesla
B. Stephen Hawking
C. Pyotr Kapitsa
D. Galileo Galilei",C,2,4,"The rephrased question asks about a person who works in the same field as a Nobel Prize in Physics laureate. The correct answer 'Pyotr Kapitsa' is a person's name, matching the Cypher query's return type (p2.name). The distractors (Nikola Tesla, Stephen Hawking, Galileo Galilei) are also names of people, are plausible choices in the context of science/physics, and have been verified not to be present in the provided list of forbidden database results.","MATCH (a:Award {name: ""Nobel Prize in Physics""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p1:Person)-[:WORKS_IN_FIELD]->(f:Field)<-[:WORKS_IN_FIELD]-(p2:Person) RETURN p2.name"
"Người nào sau đây mang cùng quốc tịch với Ludwig Quidde?
A. Otto Hahn
B. Carl Bosch
C. Wilhelm Conrad Röntgen
D. Fritz Haber",B,1,2,"The rephrased question asks for a person's name who shares the same nationality as Ludwig Quidde. The correct answer is 'Carl Bosch'. The distractors (Otto Hahn, Wilhelm Conrad Röntgen, Fritz Haber) are also names of people and are not present in the forbidden database results list.","MATCH (p1:Person {name: ""Ludwig Quidde""})-[:IS_CITIZEN_OF]->(c:Country)<-[:IS_CITIZEN_OF]-(p2:Person) RETURN p2.name"
"Quốc gia nào dưới đây có người từng đoạt giải Nobel Hòa bình?
A. Chile
B. Ma-rốc
C. Canada
D. New Zealand",C,2,3,"The rephrased question asks about a country whose citizen has received the Nobel Peace Prize. The correct answer is 'Canada' (Vietnamese). The distractors ('Chile', 'Ma-rốc', 'New Zealand') are of the same type (countries) and are NOT present in the disallowed database results.","MATCH (a:Award {name: ""Nobel Peace Prize""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p:Person)-[:IS_CITIZEN_OF]->(c:Country) RETURN c.name"
"Ai là người có cùng quốc tịch với Robert Coleman Richardson?
A. Marie Curie
B. Theodore William Richards
C. Albert Schweitzer
D. Malala Yousafzai",B,1,2,The rewritten question asks for the name of a person who shares the same nationality as Robert Coleman Richardson. The correct answer is Theodore William Richards (Vietnamese). The distractors are names of people and are not present in the provided database results.,"MATCH (p1:Person {name: ""Robert Coleman Richardson""})-[:IS_CITIZEN_OF]->(c:Country)<-[:IS_CITIZEN_OF]-(p2:Person) RETURN p2.name"
"Nhân vật nào sau đây có cùng quốc tịch với Emmanuelle Charpentier?
A. Albert Einstein
B. Victor Grignard
C. Linus Pauling
D. Max Planck",B,1,2,"Câu hỏi đã được diễn đạt lại hỏi về tên của một người có cùng quốc tịch với Emmanuelle Charpentier. Đáp án đúng là 'Victor Grignard' (tên người). Các đáp án nhiễu 'Albert Einstein', 'Linus Pauling', 'Max Planck' đều là tên người, cùng loại với đáp án đúng và KHÔNG có trong danh sách kết quả từ database.","MATCH (p1:Person {name: ""Emmanuelle Charpentier""})-[:IS_CITIZEN_OF]->(c:Country)<-[:IS_CITIZEN_OF]-(p2:Person) RETURN p2.name"
"Ai là người cùng quốc tịch với John Cockcroft?
A. Richard Roberts
B. Albert Einstein
C. Marie Curie
D. Niels Bohr",A,0,2,"The rephrased question asks for a person's name who shares nationality with John Cockcroft. The correct answer 'Richard Roberts' is a person's name. The distractors (Albert Einstein, Marie Curie, Niels Bohr) are also person's names, plausible Nobel laureates, and critically, are NOT present in the provided list of database results to be excluded.","MATCH (p1:Person {name: ""John Cockcroft""})-[:IS_CITIZEN_OF]->(c:Country)<-[:IS_CITIZEN_OF]-(p2:Person) RETURN p2.name"
"Trong số những người dưới đây, ai là người có cùng quốc tịch với Greg Winter?
A. William Henry Bragg
B. Albert Einstein
C. Marie Curie
D. Nelson Mandela",A,0,2,"The rephrased question asks for a person who shares the same nationality as Greg Winter (British). The correct answer is 'William Henry Bragg', who is also British and a Nobel laureate. The distractors are 'Albert Einstein', 'Marie Curie', and 'Nelson Mandela', all famous Nobel laureates from different countries, all person names, and explicitly NOT found in the provided database results list.","MATCH (p1:Person {name: ""Greg Winter""})-[:IS_CITIZEN_OF]->(c:Country)<-[:IS_CITIZEN_OF]-(p2:Person) RETURN p2.name"
