question,hops,cypher_query,thinking,context,split
"Ai đã tham gia vào sự kiện ""du hành tới Liên Xô năm 1973""?",1,"MATCH (e:Event {name: ""travel to the Soviet Union in 1973""})<-[:PARTICIPATED_IN]-(p:Person) RETURN p.name","Step 1: Translate to English: 'Who participated in the event ""travel to the Soviet Union in 1973""?'
Step 2: Identify the event name ""travel to the Soviet Union in 1973"" and the intent to find people who participated.
Step 3: Map the event name to the 'Event' node with property 'name'. Map ""participated in"" to the relationship 'PARTICIPATED_IN' connecting 'Person' to 'Event'. Map ""who"" to the 'Person' node and its 'name' property.
Step 4: Construct the MATCH (e:Event {name: ""travel to the Soviet Union in 1973""})<-[:PARTICIPATED_IN]-(p:Person) RETURN p.name.","Relevant Nodes:
""Event"": properties: [""name"", ""date""]
""Person"": properties: [""id"", ""name"", ""family_name"", ""gender"", ""born_on_date"", ""died_on_date"", ""notable_work""]

Relevant Relationships:
(:Person)-[:PARTICIPATED_IN]->(:Event)",train
Công việc của Human Rights Watch là gì?,1,"MATCH (p:Person {name: ""Human Rights Watch""})-[:WORKS_AS]->(o:Occupation) RETURN o.name","Step 1: Translate to English: 'What is the occupation of Human Rights Watch?'
Step 2: Identify entity 'Human Rights Watch' and intent 'occupation'.
Step 3: Map entity 'Human Rights Watch' to node 'Person' and intent 'occupation' to the relationship 'WORKS_AS' and node 'Occupation'.
Step 4: Construct MATCH (p:Person {name: ""Human Rights Watch""})-[:WORKS_AS]->(o:Occupation) RETURN o.name.","Relevant Nodes:
""Occupation"": properties: [""name""]
""Person"": properties: [""id"", ""name"", ""family_name"", ""gender"", ""born_on_date"", ""died_on_date"", ""notable_work""]

Relevant Relationships:
(:Person)-[:WORKS_AS]->(:Occupation)",train
Mario Capecchi là công dân nước nào?,1,"MATCH (p:Person {name: ""Mario Capecchi""})-[:IS_CITIZEN_OF]->(c:Country) RETURN c.name","Step 1: Translate to English: 'What country is Mario Capecchi a citizen of?'
Step 2: Identify entity 'Mario Capecchi' and intent 'citizenship country'.
Step 3: Map 'Mario Capecchi' to node 'Person' with property 'name'. Map 'citizenship country' to relationship 'IS_CITIZEN_OF' and node 'Country' with property 'name'.
Step 4: Construct MATCH (p:Person {name: ""Mario Capecchi""})-[:IS_CITIZEN_OF]->(c:Country) RETURN c.name.","Relevant Nodes:
""Country"": properties: [""name""]
""Person"": properties: [""id"", ""name"", ""family_name"", ""gender"", ""born_on_date"", ""died_on_date"", ""notable_work""]

Relevant Relationships:
(:Person)-[:IS_CITIZEN_OF]->(:Country)",train
Louis E. Brus sinh ngày nào?,1,"MATCH (p:Person {name: ""Louis E. Brus""}) RETURN p.born_on_date","Step 1: Translate to English: 'What date was Louis E. Brus born?'
Step 2: Identify entity 'Louis E. Brus' and intent 'birth date'.
Step 3: Map 'birth date' to property 'born_on_date'.
Step 4: Construct MATCH (p:Person {name: 'Louis E. Brus'}) RETURN p.born_on_date.","Relevant Nodes:
""Person"": properties: [""id"", ""name"", ""family_name"", ""gender"", ""born_on_date"", ""died_on_date"", ""notable_work""]",train
Những người nào cùng quốc tịch với Gerhard Herzberg?,2,"MATCH (p1:Person {name: ""Gerhard Herzberg""})-[:IS_CITIZEN_OF]->(c:Country)<-[:IS_CITIZEN_OF]-(p2:Person) RETURN p2.name","Step 1: Translate to English: 'Which people share the same nationality as Gerhard Herzberg?'
Step 2: Identify entity 'Gerhard Herzberg' (Person) and intent to find other 'Person' entities linked to the same 'Country' via the 'IS_CITIZEN_OF' relationship.
Step 3: Map 'Gerhard Herzberg' to Person.name. Map 'quốc tịch' (nationality) and 'cùng' (same) to the :IS_CITIZEN_OF relationship and the shared :Country node.
Step 4: Construct the MATCH clause by finding the Person 'Gerhard Herzberg' (p1), traversing to their Country (c) via IS_CITIZEN_OF, and then finding other Persons (p2) connected to that same Country (c) via IS_CITIZEN_OF. The RETURN clause will specify p2.name.","Relevant Nodes:
""Country"": properties: [""name""]
""Person"": properties: [""id"", ""name"", ""family_name"", ""gender"", ""born_on_date"", ""died_on_date"", ""notable_work""]

Relevant Relationships:
(:Person)-[:IS_CITIZEN_OF]->(:Country)",train
Những người làm trong lĩnh vực mà người nhận giải Nobel Vật lý cũng làm việc là ai?,4,"MATCH (a:Award {name: ""Nobel Prize in Physics""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p1:Person)-[:WORKS_IN_FIELD]->(f:Field)<-[:WORKS_IN_FIELD]-(p2:Person) RETURN p2.name","Step 1: Translate to English: 'Who are the people who work in the same field as someone who received the Nobel Prize in Physics?'
Step 2: Identify entities 'Nobel Prize in Physics' (Award), 'people' (Person), and intent 'find people in shared fields'.
Step 3: Map keywords: 'Nobel Prize in Physics' to (:Award {name: ""Nobel Prize in Physics""}), 'received' to (:Person)-[:RECEIVED]->(:AwardStatement), 'work in field' to (:Person)-[:WORKS_IN_FIELD]->(:Field).
Step 4: Construct the MATCH clause to find people (p2) who work in the same field (f) as people (p1) who received a Nobel Prize in Physics, and RETURN the names of these people (p2). MATCH (a:Award {name: ""Nobel Prize in Physics""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p1:Person)-[:WORKS_IN_FIELD]->(f:Field)<-[:WORKS_IN_FIELD]-(p2:Person) RETURN p2.name.","Relevant Nodes:
""Award"": properties: [""name""]
""AwardStatement"": properties: [""name"", ""year"", ""motivation""]
""Field"": properties: [""name""]
""Person"": properties: [""id"", ""name"", ""family_name"", ""gender"", ""born_on_date"", ""died_on_date"", ""notable_work""]

Relevant Relationships:
(:AwardStatement)-[:IS_INSTANCE_OF]->(:Award)
(:Person)-[:RECEIVED]->(:AwardStatement)
(:Person)-[:WORKS_IN_FIELD]->(:Field)",train
Những người từng đoạt giải Nobel Văn học đến từ quốc gia nào?,3,"MATCH (a:Award {name: ""Nobel Prize in Literature""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p:Person)-[:IS_CITIZEN_OF]->(c:Country) RETURN c.name","Step 1: Translate to English: 'Which countries are the Nobel Prize in Literature laureates from?'
Step 2: Identify entities 'Nobel Prize in Literature' and 'countries', and intent 'find origin of laureates'.
Step 3: Map 'Nobel Prize in Literature' to 'Award' node with name 'Nobel Prize in Literature'. Map 'laureates' to 'Person' node. Map 'countries' to 'Country' node. Map relationship between laureates and their country to 'IS_CITIZEN_OF'. Map relationship between laureates and the award to 'RECEIVED' and 'IS_INSTANCE_OF'.
Step 4: Construct MATCH (a:Award {name: ""Nobel Prize in Literature""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p:Person)-[:IS_CITIZEN_OF]->(c:Country) RETURN c.name.","Relevant Nodes:
""Award"": properties: [""name""]
""AwardStatement"": properties: [""name"", ""year"", ""motivation""]
""Country"": properties: [""name""]
""Person"": properties: [""id"", ""name"", ""family_name"", ""gender"", ""born_on_date"", ""died_on_date"", ""notable_work""]

Relevant Relationships:
(:AwardStatement)-[:IS_INSTANCE_OF]->(:Award)
(:Person)-[:IS_CITIZEN_OF]->(:Country)
(:Person)-[:RECEIVED]->(:AwardStatement)",train
Những người nào đã từng học tại cùng một tổ chức giáo dục với Ernest Lawrence?,2,"MATCH (p1:Person {name: ""Ernest Lawrence""})-[:EDUCATED_AT]->(o:Organization)<-[:EDUCATED_AT]-(p2:Person) RETURN p2.name","Step 1: Translate to English: 'Which people have studied at the same educational organization as Ernest Lawrence?'
Step 2: Identify entity 'Ernest Lawrence' (Person) and intent to find other Persons who share an 'EDUCATED_AT' relationship with an 'Organization' that 'Ernest Lawrence' also has an 'EDUCATED_AT' relationship with.
Step 3: Map keywords: 'Ernest Lawrence' -> Person node with name property. 'tổ chức giáo dục' -> Organization node. 'học tại' -> EDUCATED_AT relationship. 'Những người nào' -> Person node, name property.
Step 4: Construct MATCH and RETURN clauses logic: Start with the known person 'Ernest Lawrence' (p1). Traverse to the Organization (o) they were 'EDUCATED_AT'. Then, find other Persons (p2) who were also 'EDUCATED_AT' at that same Organization (o). Return the names of these persons (p2.name). This translates to `MATCH (p1:Person {name: ""Ernest Lawrence""})-[:EDUCATED_AT]->(o:Organization)<-[:EDUCATED_AT]-(p2:Person) RETURN p2.name`.","Relevant Nodes:
""Organization"": properties: [""name""]
""Person"": properties: [""id"", ""name"", ""family_name"", ""gender"", ""born_on_date"", ""died_on_date"", ""notable_work""]

Relevant Relationships:
(:Person)-[:EDUCATED_AT]->(:Organization)",train
Ai đã làm việc trong cùng lĩnh vực với những người đã nhận Giải thưởng Nobel Hóa học?,4,"MATCH (a:Award {name: ""Nobel Prize in Chemistry""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p1:Person)-[:WORKS_IN_FIELD]->(f:Field)<-[:WORKS_IN_FIELD]-(p2:Person) RETURN p2.name","Step 1: Translate to English: 'Who has worked in the same field as those who received the Nobel Prize in Chemistry?'
Step 2: Identify entities: 'Nobel Prize in Chemistry' (Award), 'same field' (Field), and intent 'find people'.
Step 3: Map keywords: 'Nobel Prize in Chemistry' to 'Award.name', 'received' to relationship 'Person)-[:RECEIVED]->(AwardStatement)', 'AwardStatement)-[:IS_INSTANCE_OF]->(Award)', 'same field' to relationship 'Person)-[:WORKS_IN_FIELD]->(Field)', and 'worked in the same field' implies a shared Field node.
Step 4: Construct MATCH clause: Find AwardStatement instances of 'Nobel Prize in Chemistry', then find Persons who received these statements, then find their associated Fields, and finally find other Persons working in those same Fields. RETURN the names of these other Persons. MATCH (a:Award {name: ""Nobel Prize in Chemistry""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p1:Person)-[:WORKS_IN_FIELD]->(f:Field)<-[:WORKS_IN_FIELD]-(p2:Person) RETURN p2.name","Relevant Nodes:
""Award"": properties: [""name""]
""AwardStatement"": properties: [""name"", ""year"", ""motivation""]
""Field"": properties: [""name""]
""Person"": properties: [""id"", ""name"", ""family_name"", ""gender"", ""born_on_date"", ""died_on_date"", ""notable_work""]

Relevant Relationships:
(:AwardStatement)-[:IS_INSTANCE_OF]->(:Award)
(:Person)-[:RECEIVED]->(:AwardStatement)
(:Person)-[:WORKS_IN_FIELD]->(:Field)",train
Elizabeth Blackburn là người nước nào?,1,"MATCH (p:Person {name: ""Elizabeth Blackburn""})-[:IS_CITIZEN_OF]->(c:Country) RETURN c.name","Step 1: Translate to English: 'What country is Elizabeth Blackburn from?'
Step 2: Identify entity 'Elizabeth Blackburn' and intent to find her country of citizenship.
Step 3: Map 'Elizabeth Blackburn' to the `Person` node with `name` property. Map 'country' to the `Country` node and the relationship 'is from' to `IS_CITIZEN_OF`.
Step 4: Construct MATCH (p:Person {name: 'Elizabeth Blackburn'})-[:IS_CITIZEN_OF]->(c:Country) RETURN c.name.","Relevant Nodes:
""Country"": properties: [""name""]
""Person"": properties: [""id"", ""name"", ""family_name"", ""gender"", ""born_on_date"", ""died_on_date"", ""notable_work""]

Relevant Relationships:
(:Person)-[:IS_CITIZEN_OF]->(:Country)",train
Liệt kê tên những người làm việc cùng lĩnh vực với một người đã đoạt giải Nobel Văn học.,4,"MATCH (a:Award {name: ""Nobel Prize in Literature""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p1:Person)-[:WORKS_IN_FIELD]->(f:Field)<-[:WORKS_IN_FIELD]-(p2:Person) RETURN p2.name","Step 1: Translate to English: 'List the names of people who work in the same field as someone who received the Nobel Prize in Literature.'
Step 2: Identify entities 'Nobel Prize in Literature' (Award) and 'people' (Person), and the intent to find their names based on shared professional fields.
Step 3: Map 'Nobel Prize in Literature' to `Award` node with `name: ""Nobel Prize in Literature""`. Map 'received' to `[:RECEIVED]` and `AwardStatement` node. Map 'works in the same field as' to `[:WORKS_IN_FIELD]` relationship and `Field` node. Map 'names of people' to `Person` node and `p2.name` property.
Step 4: Construct the MATCH clauses: `(a:Award {name: ""Nobel Prize in Literature""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p1:Person)-[:WORKS_IN_FIELD]->(f:Field)<-[:WORKS_IN_FIELD]-(p2:Person)`. Construct the RETURN clause: `RETURN p2.name`.","Relevant Nodes:
""Award"": properties: [""name""]
""AwardStatement"": properties: [""name"", ""year"", ""motivation""]
""Field"": properties: [""name""]
""Person"": properties: [""id"", ""name"", ""family_name"", ""gender"", ""born_on_date"", ""died_on_date"", ""notable_work""]

Relevant Relationships:
(:AwardStatement)-[:IS_INSTANCE_OF]->(:Award)
(:Person)-[:RECEIVED]->(:AwardStatement)
(:Person)-[:WORKS_IN_FIELD]->(:Field)",train
Avram Hershko sinh ngày bao nhiêu?,1,"MATCH (p:Person {name: ""Avram Hershko""}) RETURN p.born_on_date","Step 1: Translate to English: 'What date was Avram Hershko born?'
Step 2: Identify entity 'Avram Hershko' and intent 'birth date'.
Step 3: Map 'birth date' to property 'born_on_date'.
Step 4: Construct MATCH (p:Person {name: ""Avram Hershko""}) RETURN p.born_on_date.","Relevant Nodes:
""Person"": properties: [""id"", ""name"", ""family_name"", ""gender"", ""born_on_date"", ""died_on_date"", ""notable_work""]",train
Những người nào khác có cùng quốc tịch với Michael W. Young?,2,"MATCH (p1:Person {name: ""Michael W. Young""})-[:IS_CITIZEN_OF]->(c:Country)<-[:IS_CITIZEN_OF]-(p2:Person) RETURN p2.name","Step 1: Translate to English: 'Who else has the same nationality as Michael W. Young?'
Step 2: Identify entities 'Michael W. Young' and the intent to find people with shared nationality.
Step 3: Map 'Michael W. Young' to the Person node with name property, and 'nationality' to the IS_CITIZEN_OF relationship and Country node.
Step 4: Construct MATCH (p1:Person {name: ""Michael W. Young""})-[:IS_CITIZEN_OF]->(c:Country)<-[:IS_CITIZEN_OF]-(p2:Person) RETURN p2.name.","Relevant Nodes:
""Country"": properties: [""name""]
""Person"": properties: [""id"", ""name"", ""family_name"", ""gender"", ""born_on_date"", ""died_on_date"", ""notable_work""]

Relevant Relationships:
(:Person)-[:IS_CITIZEN_OF]->(:Country)",train
Tìm tên những người là công dân của cùng một quốc gia với Barack Obama.,2,"MATCH (p1:Person {name: ""Barack Obama""})-[:IS_CITIZEN_OF]->(c:Country)<-[:IS_CITIZEN_OF]-(p2:Person) RETURN p2.name","Step 1: Translate to English: 'Find the names of people who are citizens of the same country as Barack Obama.'
Step 2: Identify entities 'Barack Obama' and 'people', and intent 'find names of people from the same country'.
Step 3: Map 'Barack Obama' to Person node with name property, 'people' to Person node, 'citizens of the same country' to IS_CITIZEN_OF relationship and Country node.
Step 4: Construct MATCH (p1:Person {name: ""Barack Obama""})-[:IS_CITIZEN_OF]->(c:Country)<-[:IS_CITIZEN_OF]-(p2:Person) RETURN p2.name.","Relevant Nodes:
""Country"": properties: [""name""]
""Person"": properties: [""id"", ""name"", ""family_name"", ""gender"", ""born_on_date"", ""died_on_date"", ""notable_work""]

Relevant Relationships:
(:Person)-[:IS_CITIZEN_OF]->(:Country)",train
Edmund Phelps làm nghề gì?,1,"MATCH (p:Person {name: ""Edmund Phelps""})-[:WORKS_AS]->(o:Occupation) RETURN o.name","Step 1: Translate to English: 'What is Edmund Phelps's occupation?'
Step 2: Identify entity 'Edmund Phelps' and intent 'occupation'.
Step 3: Map entity 'Edmund Phelps' to node 'Person' with property 'name'. Map intent 'occupation' to relationship ':WORKS_AS' and node 'Occupation' with property 'name'.
Step 4: Construct MATCH (p:Person {name: ""Edmund Phelps""})-[:WORKS_AS]->(o:Occupation) RETURN o.name.","Relevant Nodes:
""Occupation"": properties: [""name""]
""Person"": properties: [""id"", ""name"", ""family_name"", ""gender"", ""born_on_date"", ""died_on_date"", ""notable_work""]

Relevant Relationships:
(:Person)-[:WORKS_AS]->(:Occupation)",train
